text,audio_text,path,audio_path
"This is a vlog, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor room, likely a home office, with white walls, a doorway, and a dark curtain in the background, under low-key lighting. In the center foreground, a man with dark hair, a beard, and glasses, wearing an orange t-shirt under a grey zip-up hoodie, is speaking directly to the camera with an engaged and conversational expression. He gestures with his hands as he talks, saying, [SPEECH_0]. To his left in the background, a dual-monitor computer setup displays a static cityscape wallpaper. To his right in the background, a dark-colored computer tower is visible.","A clear, friendly male voice speaking in a calm and conversational tone. The dialogue is natural and informative, with a steady pace and a neutral emotional tone. The audio is clean and free of background noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/cefb84ed9c54ed0316a7e0c17160380d-Scene-039.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/cefb84ed9c54ed0316a7e0c17160380d-Scene-039.wav
"This is a vlog, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor office or studio during the daytime, with beige walls, a large ornate mirror, and a certificate on the wall. In the center foreground, a woman with light brown hair styled in a bun with a red scrunchie, wearing a beige t-shirt, a gold chain necklace, and a ring on her right hand, sits at a desk. She has a happy, engaging, and enthusiastic expression and speaks directly to the camera, using expressive hand gestures. She says, [SPEECH_0]. Animated text 'ALL THINGS DIAMONDS' with a blue diamond graphic appears on the right side of the screen.","A clear, friendly female voice speaking in a calm and warm tone, with a natural and engaging delivery. The dialogue is intimate and conversational, with subtle background room ambience, indicating a quiet indoor environment such as a home office or studio.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/dfe8456c49e0b3aea58a47364825dd4d-Scene-001.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/dfe8456c49e0b3aea58a47364825dd4d-Scene-001.wav
"This is an interview presented as a static, eye-level medium shot from a front view. The scene is set in an indoor office during the daytime, with a window covered by horizontal blinds in the background and soft lighting. In the center, an older man with white hair, wearing a black cardigan over a light blue collared shirt, sits at a desk. He holds a white paper document in one hand and a pen in the other, speaking and gesturing as he explains a topic. To his left, a black laptop is on the desk, and behind him is a beige filing cabinet with a black, tiered document tray on top, filled with papers. The man speaks with an engaged and explanatory expression, saying, [SPEECH_0].","A clear, calm male voice speaking in a neutral and explanatory tone. The speech is steady and at a moderate pace, with no background noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/1104f78e25adf32158830e0c9418d1bb-Scene-003.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/1104f78e25adf32158830e0c9418d1bb-Scene-003.wav
"This is a lecture or interview, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor studio during the daytime, with a wall in the background featuring vertical black, yellow, and red panels, and bright, high-key lighting. In the center, an older man with light brown hair and glasses, wearing a white pinstriped button-down shirt, stands and speaks with an engaged and focused expression. He gestures with his hands as he talks, saying, [SPEECH_0].","A clear, neutral male voice speaks at a moderate pace, with a calm and informative tone. The audio is clean and well-recorded, with no background music or ambient noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/496e9469543025504a0668c35d71e01b-Scene-004.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/496e9469543025504a0668c35d71e01b-Scene-004.wav
"This is an interview, presented as a static, eye-level medium shot from a front view. The scene is set in a studio with a plain, off-white background and high-key lighting. In the center, a Black woman with long, dark, wavy hair, wearing a black shiny bomber jacket with white stripes on the cuffs over a white top, large hoop earrings, and noticeable makeup including green eyeshadow, is sitting and talking. She uses various hand gestures, such as pointing, making an 'OK' sign, and waving her hands, while smiling and speaking animatedly. She says, [SPEECH_0].","A clear, female voice with a friendly and animated tone speaks at a moderate pace. The audio is clean and well-recorded, with no background music or ambient noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/9a698a718f708d1062421fbd23ac6253-Scene-019_subtitle_cropped.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/9a698a718f708d1062421fbd23ac6253-Scene-019_subtitle_cropped.wav
"This is an educational video, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor medical office or clinic during the daytime, with blue and white walls, anatomical charts, and a window in the background, illuminated by soft lighting. In the center, a man with short brown hair and a beard, wearing grey medical scrubs and a name tag, is kneeling on one knee with a serious expression. He is speaking and using various hand gestures to emphasize his points, saying, [SPEECH_0]. To his left is a blue and grey adjustable examination table, and to his right is a wooden desk with a laptop, a green basket, and a tablet.","A clear, neutral male voice speaks in a calm and informative tone. The dialogue is steady and well-paced, with no background noise or music.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/5339f256b9d3b279e3eadf50a11287fa-Scene-011.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/5339f256b9d3b279e3eadf50a11287fa-Scene-011.wav
"This is a vlog-style video, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor room, likely a home office or studio, with a bookshelf in the background and soft, low-key lighting. In the center, a middle-aged man with a white beard, wearing a green baseball cap, glasses, and a colorful patterned button-up shirt, sits in a chair holding an electric guitar. He has an engaged and conversational expression as he speaks, saying, [SPEECH_0]. Behind him, a large green plant is on the left, a black and white poster of Jimi Hendrix with the text 'Bold as Love' and '1967' is on the wall, and a vinyl record player is on a shelf to the right.","A clear, conversational male voice speaking in a calm and informative tone. The speech is steady and articulate, with a natural cadence, suggesting a relaxed and knowledgeable speaker. The recording is clean, with no noticeable background noise or music.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/aa98b282aa17206b75e3cd36048258da-Scene-012.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/aa98b282aa17206b75e3cd36048258da-Scene-012.wav
"This is an educational video featuring a woman signing in American Sign Language (ASL). The woman, with long brown hair, wearing a magenta sweater and a black smartwatch on her left wrist, is the main subject. She is positioned in the center of the frame in a medium shot, filmed from a static, eye-level, front view. The background is a solid teal studio wall, and the lighting is soft and even. She is actively signing, her hands moving expressively as she looks off-camera to her right. Her facial expressions are engaged and change dynamically with her signing. She speaks, saying, [SPEECH_0]. Gentle instrumental music plays in the background.","A clear, neutral female voice speaks in a calm and instructional tone. Gentle instrumental music plays softly in the background.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/4f903677da417b53f6bd52e73366b4fa-Scene-097_subtitle_cropped.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/4f903677da417b53f6bd52e73366b4fa-Scene-097_subtitle_cropped.wav
"This is a close-up, static, eye-level shot from a front view, set in a dark studio environment with spotlight lighting. In the center, a middle-aged Caucasian man with freckles, wearing a light-colored fedora hat and a blue and white plaid shirt, is playing a guitar and speaking into a microphone. He is engaged and focused, looking at the camera and gesturing with his hands as he speaks. To his left is a black microphone with a red accent on a stand, and in front of him is another black microphone with a pop filter. The neck and headstock of a guitar are visible in the bottom left of the frame. He says, [SPEECH_0].","A clear, calm male voice speaking in a conversational tone. The speech is steady and informative, with no background music or ambient noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/0d6f687059ace2f1a476fdb20c5bcd98-Scene-036.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/0d6f687059ace2f1a476fdb20c5bcd98-Scene-036.wav
"This is a vlog, presented as a static, eye-level medium shot from a front view. The scene is set in an indoor room, likely a home office or studio, with a desk, computer equipment, and acoustic panels on the wall. In the center foreground, a man with a buzz cut, beard, and a ring on his left hand, wearing a black t-shirt, is holding and rotating a black, geometric-shaped object. He examines it while speaking, with an engaged and informative expression. Behind him, a black computer monitor displaying a grid-like interface is flanked by two black studio monitors with yellow cones. The lighting is low-key. The man speaks, saying, [SPEECH_0]. A neutral, instrumental music track plays softly in the background.","A clear, neutral male voice speaks in a calm and steady tone. The dialogue is accompanied by soft, instrumental background music with a neutral mood. The audio is clean and well-balanced, with no noticeable background noise.",/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged/a5b47b48566a3ec1db689a18a67d714d-Scene-010.mp4,/mnt/shaoguan1cephfs/wevision-vfx/leileizhu/ominihuman/ominihuman/testset/single_double_merged_audio/a5b47b48566a3ec1db689a18a67d714d-Scene-010.wav
